Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut. 
"Sat, 26 Jun 2010",ST, , v IRE,22-15,2:0,4-1,"Suncorp Stadium, Brisbane", 
"Sat, 26 Jun 2010",ST, , v FRA,41-13,4:1,5-0,"Velez Sarsfield, Buenos Aires", 
"Sat, 26 Jun 2010",ST,2 , v ITA,55-11,7:1,5-0,East_London, 
"Sat, 26 Jun 2010",ST,2 , v WAL,29-10,2:1,4-0,"Waikato Stadium, Hamilton", 
"Sat, 10 Jul 2010","3N,FC",s , v SAF,32-12,4:0,5-0,"Eden Park, Auckland", 
"Sat, 17 Jul 2010","3N,FC",n , v SAF,31-17,4:2,5-0,"Westpac Trust, Wellington", 
"Sat, 24 Jul 2010","3N,MP",s , v SAF,30-13,2:2,4-0,"Suncorp Stadium, Brisbane", 
"Sat, 31 Jul 2010","3N,BC",n ,AUS v ,28-49,3:7,0-5,"Colonial Stadium, Melbourne", 
"Sat, 07 Aug 2010","3N,BC",n , v AUS,20-10,2:1,4-0,"Jade Stadium, Christchurch", 
"Sat, 21 Aug 2010","3N,FC",n ,SAF v ,22-29,1:3,1-4,"Soweto, Johannesburg", 
"Sat, 28 Aug 2010","3N,MP",s , v AUS,44-31,5:4,5-1,"Loftus Versfeld, Pretoria", 
"Sat, 04 Sep 2010","3N,MP",a ,SAF v ,39-41,3:5,1-5,"Vodacom Park, Bloemfontein", 
"Sat, 11 Sep 2010","3N,BC",n ,AUS v ,22-23,2:2,1-4,"Stadium Australia, Sydney", 
"Sat, 30 Oct 2010",BC,n ,NZL v ,24-26,3:4,1-5,Hong Kong Stadium,Y
"Sat, 06 Nov 2010",AI, ,WAL v ,16-25,1:3,0-4,"Millennium Stadium, Cardiff", 
"Sat, 06 Nov 2010","AI,HS,GS",1 ,ENG v ,16-26,1:2,0-4,"Twickenham, London", 
"Sat, 06 Nov 2010",AI, ,IRE v ,21-23,2:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 13 Nov 2010","AI,GS",2 ,SCO v ,3-49,0:7,0-5,"Murrayfield, Edinburgh", 
"Sat, 13 Nov 2010",WQ, ,URU v ROM,21-21,2:2,2-2,Montevideo, 
"Sat, 13 Nov 2010",AI, ,WAL v ,25-29,3:2,1-4,"Millennium Stadium, Cardiff", 
"Sat, 13 Nov 2010","AI,CC",e , v AUS,35-18,2:2,4-0,"Twickenham, London", 
"Sat, 13 Nov 2010",AI, , v SAM,20-10,2:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 13 Nov 2010",AI, ,ITA v ,16-22,1:1,1-4,Verona, 
"Sat, 13 Nov 2010",AI, , v FIJ,34-12,3:0,4-0,Nantes, 
"Fri, 19 Nov 2010",AI, ,WAL v FIJ,16-16,1:1,2-2,"Millennium Stadium, Cardiff", 
"Sat, 20 Nov 2010",AI, , v ARG,15-9,0:0,4-1,Montpellier, 
"Sat, 20 Nov 2010",AI, , v SAF,21-17,0:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 20 Nov 2010",AI, , v SAM,23-13,2:2,4-0,"Twickenham, London", 
"Sat, 20 Nov 2010",AI, ,ITA v ,14-32,1:2,0-4,Florence, 
"Sat, 20 Nov 2010","AI,GS",3 ,IRE v ,18-38,2:4,0-5,"Lansdowne Rd, Dublin", 
"Sat, 27 Nov 2010","AI,GS",4 ,WAL v ,25-37,1:5,0-5,"Millennium Stadium, Cardiff", 
"Sat, 27 Nov 2010",AI, ,FRA v ,16-59,1:7,0-5,"Stade de France, Paris", 
"Sat, 27 Nov 2010",WQ, , v URU,39-12,5:2,5-0,Bucharest, 
"Sat, 27 Nov 2010",AI, ,ENG v ,11-21,1:2,0-4,"Twickenham, London", 
"Sat, 27 Nov 2010",AI, , v SAM,19-16,1:1,4-1,Aberdeen, 
"Sat, 27 Nov 2010",AI, , v FIJ,24-16,0:1,4-0,Modena, 
"Sun, 28 Nov 2010",AI, , v ARG,29-9,2:0,4-0,"Lansdowne Rd, Dublin", 
"Fri, 04 Feb 2011",6N,1 ,WAL v ,19-26,1:2,1-4,"Millennium Stadium, Cardiff", 
"Sat, 05 Feb 2011",6N,1 ,ITA v ,11-13,1:1,1-4,"Stadio Flaminio, Rome", 
"Sat, 05 Feb 2011",6N,1 , v SCO,34-21,4:3,5-0,"Stade de France, Paris", 
"Sat, 12 Feb 2011",6N,2 , v ITA,59-13,8:1,5-0,"Twickenham, London", 
"Sat, 12 Feb 2011",6N,2 ,SCO v ,6-24,0:2,0-4,"Murrayfield, Edinburgh", 
"Sun, 13 Feb 2011",6N,2 ,IRE v ,22-25,3:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 26 Feb 2011",6N,3 ,ITA v ,16-24,2:2,0-4,"Stadio Flaminio, Rome", 
"Sat, 26 Feb 2011",6N,3 , v FRA,17-9,1:0,4-0,"Twickenham, London", 
"Sun, 27 Feb 2011",6N,3 ,SCO v ,18-21,0:3,1-4,"Murrayfield, Edinburgh", 
"Sat, 12 Mar 2011",6N,4 , v FRA,22-21,1:2,4-1,"Stadio Flaminio, Rome", 
"Sat, 12 Mar 2011",6N,4 , v IRE,19-13,1:1,4-1,"Millennium Stadium, Cardiff", 
"Sun, 13 Mar 2011","6N,CA",4 , v SCO,22-16,1:1,4-1,"Twickenham, London", 
"Sat, 19 Mar 2011",6N,5 , v ITA,21-8,2:1,4-0,"Murrayfield, Edinburgh", 
"Sat, 19 Mar 2011",6N,5 , v ENG,24-8,2:1,4-0,"Lansdowne Rd, Dublin", 
"Sat, 19 Mar 2011",6N,5 , v WAL,28-9,3:0,4-0,"Stade de France, Paris", 
"Sun, 17 Jul 2011",WU, ,AUS v ,23-32,2:4,0-5,"Football Stadium, Sydney", 
"Fri, 22 Jul 2011",WU, , v FIJ,60-14,8:2,5-0,"Carisbrook, Dunedin", 
"Sat, 23 Jul 2011","3N,MP",a , v SAF,39-20,5:2,5-0,"Stadium Australia, Sydney", 
"Sat, 30 Jul 2011","3N,FC", , v SAF,40-7,6:1,5-0,"Westpac Trust, Wellington", 
"Sat, 06 Aug 2011","3N,BC",n , v AUS,30-14,3:2,4-0,"Eden Park, Auckland", 
"Sat, 06 Aug 2011",WU, , v WAL,23-19,2:3,4-1,"Twickenham, London", 
"Sat, 06 Aug 2011",WU, , v IRE,10-6,1:0,4-1,"Murrayfield, Edinburgh", 
"Sat, 13 Aug 2011","3N,MP",a ,SAF v ,9-14,0:1,1-4,"Kings Park Stadium, Durban", 
"Sat, 13 Aug 2011",WU, , v JAP,31-24,4:3,5-1,Cesena, 
"Sat, 13 Aug 2011",WU, , v ENG,19-9,1:0,4-0,"Millennium Stadium, Cardiff", 
"Sat, 13 Aug 2011",WU, , v IRE,19-12,1:0,4-1,"Stade Municipal, Bordeaux", 
"Sat, 20 Aug 2011","3N,FC", , v NZL,18-5,0:1,4-0,"N. Mandela Bay, Pt Elizabeth", 
"Sat, 20 Aug 2011",WU, , v ARG,28-13,3:1,4-0,"Millennium Stadium, Cardiff", 
"Sat, 20 Aug 2011",WU, , v ITA,23-12,2:2,4-0,"Murrayfield, Edinburgh", 
"Sat, 20 Aug 2011",WU, ,IRE v ,22-26,2:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 27 Aug 2011","3N,BC",n , v NZL,25-20,3:2,4-1,"Suncorp Stadium, Brisbane", 
"Sat, 27 Aug 2011",WU, ,IRE v ,9-20,0:2,0-4,"Lansdowne Rd, Dublin", 
"Fri, 09 Sep 2011",WC,P['NZL'], v TON,41-10,6:1,5-0,"Eden Park, Auckland", 
"Sat, 10 Sep 2011",WC,P['SCO'], v ROM,34-24,4:2,5-0,Invercargill,Y
"Sat, 10 Sep 2011",WC,P['FIJ'], v NAM,49-25,6:2,5-0,Rotorua,Y
"Sat, 10 Sep 2011",WC,P['FRA'], v JAP,47-21,6:2,5-0,Albany,Y
"Sat, 10 Sep 2011",WC,P['ENG'],ARG v ,9-13,0:1,1-4,"Otago Stadium, Dunedin",Y
"Sun, 11 Sep 2011",WC,P['AUS'], v ITA,32-6,4:0,5-0,Albany,Y
"Sun, 11 Sep 2011",WC,P['IRE'], v USA,22-10,3:1,4-0,New Plymouth,Y
"Sun, 11 Sep 2011",WC,P['SAF'], v WAL,17-16,2:1,4-1,"Westpac Trust, Wellington",Y
"Wed, 14 Sep 2011",WC,P['SAM'], v NAM,49-12,6:2,5-0,Rotorua,Y
"Wed, 14 Sep 2011",WC,P['CAN'],TON v ,20-25,2:3,1-4,Whangarei,Y
"Wed, 14 Sep 2011",WC,P['SCO'], v GEO,15-6,0:0,4-0,"Otago Stadium, Dunedin",Y
"Thu, 15 Sep 2011",WC,P['USA'],RUS v ,6-13,0:1,1-4,New Plymouth,Y
"Fri, 16 Sep 2011",WC,P['NZL'], v JAP,83-7,13:1,5-0,"Rugby Park, Hamilton", 
"Sat, 17 Sep 2011",WC,P['ARG'], v ROM,43-8,6:1,5-0,Invercargill,Y
"Sat, 17 Sep 2011",WC,P['SAF'], v FIJ,49-3,6:0,5-0,"Westpac Trust, Wellington",Y
"Sat, 17 Sep 2011",WC,P['IRE'],AUS v ,6-15,0:0,0-4,"Eden Park, Auckland",Y
"Sun, 18 Sep 2011",WC,P['WAL'], v SAM,17-10,1:1,4-1,"Rugby Park, Hamilton",Y
"Sun, 18 Sep 2011",WC,P['ENG'], v GEO,41-10,6:1,5-0,"Otago Stadium, Dunedin",Y
"Sun, 18 Sep 2011",WC,P['FRA'], v CAN,46-19,4:1,5-0,Napier,Y
"Tue, 20 Sep 2011",WC,P['ITA'], v RUS,53-17,9:3,5-0,"Trafalgar Park, Nelson",Y
"Wed, 21 Sep 2011",WC,P['TON'], v JAP,31-18,3:3,4-0,Whangarei,Y
"Thu, 22 Sep 2011",WC,P['SAF'], v NAM,87-0,12:0,5-0,Albany,Y
"Fri, 23 Sep 2011",WC,P['AUS'], v USA,67-5,11:1,5-0,"Westpac Trust, Wellington",Y
"Sat, 24 Sep 2011",WC,P['ENG'], v ROM,67-3,10:0,5-0,"Otago Stadium, Dunedin",Y
"Sat, 24 Sep 2011",WC,P['NZL'], v FRA,37-17,5:2,5-0,"Eden Park, Auckland", 
"Sun, 25 Sep 2011",WC,P['SAM'],FIJ v ,7-27,1:2,0-4,"Eden Park, Auckland",Y
"Sun, 25 Sep 2011",WC,P['IRE'], v RUS,62-12,9:2,5-0,Rotorua,Y
"Sun, 25 Sep 2011",WC,P['ARG'], v SCO,13-12,1:0,4-1,"Westpac Trust, Wellington",Y
"Mon, 26 Sep 2011",WC,P['WAL'], v NAM,81-7,12:1,5-0,New Plymouth,Y
"Tue, 27 Sep 2011",WC,P[],CAN v JAP,23-23,3:2,2-2,Napier,Y
"Tue, 27 Sep 2011",WC,P['ITA'], v USA,27-10,4:1,5-0,"Trafalgar Park, Nelson",Y
"Wed, 28 Sep 2011",WC,P['GEO'], v ROM,25-9,1:0,4-0,"FMG Stadium, Palmerston North",Y
"Fri, 30 Sep 2011",WC,P['SAF'], v SAM,13-5,1:1,4-0,Albany,Y
"Sat, 01 Oct 2011",WC,P['AUS'], v RUS,68-22,10:3,5-0,"Trafalgar Park, Nelson",Y
"Sat, 01 Oct 2011",WC,P['TON'],FRA v ,14-19,1:1,1-4,"Westpac Trust, Wellington",Y
"Sat, 01 Oct 2011",WC,P['ENG'], v SCO,16-12,1:0,4-1,"Eden Park, Auckland",Y
"Sun, 02 Oct 2011",WC,P['ARG'], v GEO,25-7,3:1,4-0,"FMG Stadium, Palmerston North",Y
"Sun, 02 Oct 2011",WC,P['NZL'], v CAN,79-15,12:2,5-0,"Westpac Trust, Wellington", 
"Sun, 02 Oct 2011",WC,P['WAL'], v FIJ,66-0,9:0,5-0,"Rugby Park, Hamilton",Y
"Sun, 02 Oct 2011",WC,P['IRE'], v ITA,36-6,3:0,4-0,"Otago Stadium, Dunedin",Y
"Sat, 08 Oct 2011",WC,Q['WAL'],IRE v ,10-22,1:3,0-4,"Westpac Trust, Wellington",Y
"Sat, 08 Oct 2011",WC,Q['FRA'],ENG v ,12-19,2:2,1-4,"Eden Park, Auckland",Y
"Sun, 09 Oct 2011",WC,Q['AUS'],SAF v ,9-11,0:1,1-4,"Westpac Trust, Wellington",Y
"Sun, 09 Oct 2011",WC,Q['NZL'], v ARG,33-10,2:1,4-0,"Eden Park, Auckland", 
"Sat, 15 Oct 2011",WC,Semi ,WAL v ,8-9,1:0,1-4,"Eden Park, Auckland",Y
"Sun, 16 Oct 2011",WC,Semi , v AUS,20-6,1:0,4-0,"Eden Park, Auckland", 
"Fri, 21 Oct 2011",WC,3&4 ,WAL v ,18-21,2:2,1-4,"Eden Park, Auckland",Y
"Sun, 23 Oct 2011",WC,F['NZL'], v FRA,8-7,1:1,4-1,"Eden Park, Auckland", 
"Sat, 03 Dec 2011",AI, ,WAL v ,18-24,2:3,1-4,"Millennium Stadium, Cardiff", 
"Sat, 04 Feb 2012",6N,1 , v ITA,30-12,4:0,5-0,"Stade de France, Paris", 
"Sat, 04 Feb 2012","6N,CA",1 ,SCO v ,6-13,0:1,1-4,"Murrayfield, Edinburgh", 
"Sun, 05 Feb 2012",6N,1 ,IRE v ,21-23,2:3,1-4,"Lansdowne Rd, Dublin", 
"Sat, 11 Feb 2012",6N,2 ,ITA v ,15-19,2:1,1-4,"Olympic Stadium, Rome", 
"Sun, 12 Feb 2012",6N,2 , v SCO,27-13,3:1,4-0,"Millennium Stadium, Cardiff", 
"Sat, 25 Feb 2012",6N,3 , v ITA,42-10,5:1,5-0,"Lansdowne Rd, Dublin", 
"Sat, 25 Feb 2012",6N,3 ,ENG v ,12-19,0:1,1-4,"Twickenham, London", 
"Sun, 26 Feb 2012",6N,3 ,SCO v ,17-23,2:2,1-4,"Murrayfield, Edinburgh", 
"Sun, 04 Mar 2012",6N,2 ,FRA v IRE,17-17,1:2,2-2,"Stade de France, Paris", 
"Sat, 10 Mar 2012",6N,4 , v ITA,24-3,2:0,4-0,"Millennium Stadium, Cardiff", 
"Sat, 10 Mar 2012",6N,4 , v SCO,32-14,4:1,5-0,"Lansdowne Rd, Dublin", 
"Sun, 11 Mar 2012",6N,4 ,FRA v ,22-24,1:3,1-4,"Stade de France, Paris", 
"Sat, 17 Mar 2012",6N,5 , v SCO,13-6,1:0,4-1,"Olympic Stadium, Rome", 
"Sat, 17 Mar 2012",6N,5 , v FRA,16-9,1:0,4-1,"Millennium Stadium, Cardiff", 
"Sat, 17 Mar 2012",6N,5 , v IRE,30-9,2:0,4-0,"Twickenham, London", 
"Tue, 05 Jun 2012","ST,HC", ,AUS v ,6-9,0:0,1-4,Newcastle, 
"Sat, 09 Jun 2012",ST, , v ITA,37-22,4:3,5-0,San Juan, 
"Sat, 09 Jun 2012",ST,1 , v ENG,22-17,2:1,4-1,"Kings Park Stadium, Durban", 
"Sat, 09 Jun 2012",ST,1 , v IRE,42-10,5:1,5-0,"Eden Park, Auckland", 
"Sat, 09 Jun 2012",ST,1 , v WAL,27-19,3:1,4-0,"Suncorp Stadium, Brisbane", 
"Fri, 15 Jun 2012", ,C['ITA'],16-25,1:1,0-4,"BMO Field, Toronto", 
"Sat, 16 Jun 2012",ST, ,FIJ v ,25-37,3:4,0-5,"Lautoka, Fiji", 
"Sat, 16 Jun 2012",ST,2 , v ENG,36-27,4:3,5-0,"Ellis Park, Johannesburg", 
"Sat, 16 Jun 2012",ST,1 , v FRA,23-20,2:1,4-1,Cordoba, 
"Sat, 16 Jun 2012",ST,2 , v IRE,22-19,1:1,4-1,"Rugby League Pk, Christchurch", 
"Sat, 16 Jun 2012",ST,2 , v WAL,25-23,1:2,4-1,"Colonial Stadium, Melbourne", 
"Sat, 23 Jun 2012",ST,3 , v WAL,20-19,1:1,4-1,"Football Stadium, Sydney", 
"Sat, 23 Jun 2012",ST, ,SAM v ,16-17,1:2,1-4,Apia, 
"Sat, 23 Jun 2012",ST,3 ,SAF v ENG,14-14,1:1,2-2,"N. Mandela Bay, Pt Elizabeth", 
"Sat, 23 Jun 2012",ST,2 ,ARG v ,10-49,1:6,0-5,Tucuman, 
"Sat, 23 Jun 2012",ST,3 , v IRE,60-0,9:0,5-0,"Waikato Stadium, Hamilton", 
"Sat, 23 Jun 2012", ,U['ITA'],10-30,1:3,0-4,Houston, 
"Sat, 18 Aug 2012","RC,BC",n ,AUS v ,19-27,1:2,0-4,"Stadium Australia, Sydney", 
"Sat, 18 Aug 2012",RC, , v ARG,27-6,3:0,4-0,"Newlands, Cape Town", 
"Sat, 25 Aug 2012",RC, ,ARG v SAF,16-16,1:1,2-2,Mendoza, 
"Sat, 25 Aug 2012","RC,BC",n , v AUS,22-0,1:0,4-0,"Eden Park, Auckland", 
"Sat, 08 Sep 2012","RC,MP",a , v SAF,26-19,2:1,4-1,"Subiaco Oval, Perth_AUS", 
"Sat, 08 Sep 2012",RC, , v ARG,21-5,2:1,4-0,"Westpac Trust, Wellington", 
"Sat, 15 Sep 2012",RC, , v ARG,23-19,2:2,4-1,"Skilled Park, Gold Coast", 
"Sat, 15 Sep 2012","RC,FC",n , v SAF,21-11,2:1,4-0,"Otago Stadium, Dunedin", 
"Sat, 29 Sep 2012","RC,MP",a , v AUS,31-8,5:1,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 29 Sep 2012",RC, ,ARG v ,15-54,2:7,0-5,La Plata, 
"Sat, 06 Oct 2012","RC,FC", ,SAF v ,16-32,1:4,0-5,"Soweto, Johannesburg", 
"Sat, 06 Oct 2012",RC, ,ARG v ,19-25,1:1,1-4,Rosario, 
"Sat, 20 Oct 2012",BC,n ,AUS v NZL,18-18,0:0,2-2,"Suncorp Stadium, Brisbane", 
"Sat, 10 Nov 2012",AI, , v AUS,33-6,3:0,4-0,"Stade de France, Paris", 
"Sat, 10 Nov 2012",AI, , v FIJ,54-12,7:2,5-0,"Twickenham, London", 
"Sat, 10 Nov 2012",AI, ,WAL v ,12-26,0:2,0-4,"Millennium Stadium, Cardiff", 
"Sat, 10 Nov 2012",AI, , v TON,28-23,3:2,4-1,Torino, 
"Sat, 10 Nov 2012",AI, ,IRE v ,12-16,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sun, 11 Nov 2012",AI, ,SCO v ,22-51,3:6,0-5,"Murrayfield, Edinburgh", 
"Fri, 16 Nov 2012",AI, ,WAL v ,19-26,1:3,1-4,"Millennium Stadium, Cardiff", 
"Sat, 17 Nov 2012","AI,CC", ,ENG v ,14-20,1:1,1-4,"Twickenham, London", 
"Sat, 17 Nov 2012",AI, ,SCO v ,10-21,1:2,1-4,"Murrayfield, Edinburgh", 
"Sat, 17 Nov 2012",AI, ,ITA v ,10-42,1:5,0-5,"Olympic Stadium, Rome", 
"Sat, 17 Nov 2012",AI, , v ARG,39-22,3:1,4-0,Lille, 
"Sat, 24 Nov 2012",AI, ,WAL v ,10-33,2:3,0-4,"Millennium Stadium, Cardiff", 
"Sat, 24 Nov 2012",AI, , v ARG,46-24,7:2,5-0,"Lansdowne Rd, Dublin", 
"Sat, 24 Nov 2012",AI, ,ENG v ,15-16,0:1,1-4,"Twickenham, London", 
"Sat, 24 Nov 2012",AI, ,SCO v ,15-21,0:2,1-4,Aberdeen, 
"Sat, 24 Nov 2012",AI, ,ITA v ,19-22,1:1,1-4,Bologna, 
"Sat, 24 Nov 2012",AI, , v SAM,22-14,1:2,4-0,"Stade de France, Paris", 
"Sat, 01 Dec 2012","AI,HS",e , v NZL,38-21,3:3,4-0,"Twickenham, London", 
"Sat, 01 Dec 2012",AI, ,WAL v ,12-14,0:1,1-4,"Millennium Stadium, Cardiff", 
"Sat, 02 Feb 2013",6N,1 ,WAL v ,22-30,3:3,0-4,"Millennium Stadium, Cardiff", 
"Sat, 02 Feb 2013","6N,CA",1 , v SCO,38-18,4:2,5-0,"Twickenham, London", 
"Sun, 03 Feb 2013",6N,1 , v FRA,23-18,2:2,4-1,"Olympic Stadium, Rome", 
"Sat, 09 Feb 2013",6N,2 , v ITA,34-10,4:1,5-0,"Murrayfield, Edinburgh", 
"Sat, 09 Feb 2013",6N,2 ,FRA v ,6-16,0:1,0-4,"Stade de France, Paris", 
"Sun, 10 Feb 2013",6N,2 ,IRE v ,6-12,0:0,1-4,"Lansdowne Rd, Dublin", 
"Sat, 23 Feb 2013",6N,3 ,ITA v ,9-26,0:2,0-4,"Olympic Stadium, Rome", 
"Sat, 23 Feb 2013",6N,3 , v FRA,23-13,1:1,4-0,"Twickenham, London", 
"Sun, 24 Feb 2013",6N,3 , v IRE,12-8,0:1,4-1,"Murrayfield, Edinburgh", 
"Sat, 09 Mar 2013",6N,4 ,SCO v ,18-28,0:1,0-4,"Murrayfield, Edinburgh", 
"Sat, 09 Mar 2013",6N,4 ,IRE v FRA,13-13,1:1,2-2,"Lansdowne Rd, Dublin", 
"Sun, 10 Mar 2013",6N,4 , v ITA,18-11,0:1,4-1,"Twickenham, London", 
"Sat, 16 Mar 2013",6N,5 , v ENG,30-3,2:0,4-0,"Millennium Stadium, Cardiff", 
"Sat, 16 Mar 2013",6N,5 , v IRE,22-15,1:0,4-1,"Olympic Stadium, Rome", 
"Sat, 16 Mar 2013",6N,5 , v SCO,23-16,2:1,4-1,"Stade de France, Paris", 
"Sat, 08 Jun 2013",ST,1 ,JAP v ,18-22,2:1,1-4,"Hanazono Stadium, Osaka", 
"Sat, 08 Jun 2013",ST, , v SCO,27-17,3:1,4-0,"Kings Park Stadium, Durban",Y
"Sat, 08 Jun 2013",ST,1 ,ARG v ,3-32,0:4,0-5,Salta, 
"Sat, 08 Jun 2013",ST, ,USA v ,12-15,0:0,1-4,Houston, 
"Sat, 08 Jun 2013",ST, , v ITA,44-10,5:1,5-0,"Kings Park Stadium, Durban", 
"Sat, 08 Jun 2013","ST,DG",1 , v FRA,23-13,2:1,4-0,"Eden Park, Auckland", 
"Sat, 15 Jun 2013",ST,2 , v WAL,23-8,2:1,4-0,"Prince Chichibu Stadium, Tokyo", 
"Sat, 15 Jun 2013",ST, ,ITA v ,10-39,1:5,0-5,"Mbombela Stadium, Nelspruit",Y
"Sat, 15 Jun 2013",ST,2 ,ARG v ,26-51,2:7,0-5,"Velez Sarsfield, Buenos Aires", 
"Sat, 15 Jun 2013",ST, , v SCO,30-17,3:2,4-0,"Mbombela Stadium, Nelspruit", 
"Sat, 15 Jun 2013","ST,DG",2 , v FRA,30-0,3:0,4-0,"Rugby League Pk, Christchurch", 
"Sat, 15 Jun 2013",ST, ,CAN v ,14-40,1:6,0-5,"BMO Field, Toronto", 
"Wed, 19 Jun 2013", ,[ v CAN,16-13,1:1,4-1,Nagoya, 
"Sat, 22 Jun 2013",LT,1 ,AUS v ,21-23,2:2,1-4,"Suncorp Stadium, Brisbane", 
"Sat, 22 Jun 2013",ST, ,ITA v ,29-30,2:3,1-4,"Loftus Versfeld, Pretoria",Y
"Sat, 22 Jun 2013",ST, , v GEO,29-18,1:0,4-0,San Juan, 
"Sat, 22 Jun 2013",ST, , v SAM,56-23,8:2,5-0,"Loftus Versfeld, Pretoria", 
"Sat, 22 Jun 2013","ST,DG",3 , v FRA,24-9,2:0,4-0,New Plymouth, 
"Sun, 23 Jun 2013", ,[ v USA,38-20,6:3,5-0,"Prince Chichibu Stadium, Tokyo", 
"Sat, 29 Jun 2013",LT,2 , v LIO,16-15,1:0,4-1,"Colonial Stadium, Melbourne", 
"Sat, 06 Jul 2013",LT,3 ,AUS v ,16-41,1:4,0-5,"Stadium Australia, Sydney", 
"Sat, 17 Aug 2013","RC,BC",n ,AUS v ,29-47,2:6,0-5,"Stadium Australia, Sydney", 
"Sat, 17 Aug 2013",RC, , v ARG,73-13,9:1,5-0,"Soweto, Johannesburg", 
"Sat, 24 Aug 2013",RC, ,ARG v ,17-22,2:1,1-4,Mendoza, 
"Sat, 24 Aug 2013","RC,BC",n , v AUS,27-16,2:1,4-0,"Westpac Trust, Wellington", 
"Sat, 07 Sep 2013","RC,MP",a ,AUS v ,12-38,0:4,0-5,"Suncorp Stadium, Brisbane", 
"Sat, 07 Sep 2013",RC, , v ARG,28-13,3:1,4-0,"Waikato Stadium, Hamilton", 
"Sat, 14 Sep 2013",RC, , v ARG,14-13,1:1,4-1,"Subiaco Oval, Perth_AUS", 
"Sat, 14 Sep 2013","RC,FC",n , v SAF,29-15,4:2,5-0,"Eden Park, Auckland", 
"Sat, 28 Sep 2013","RC,MP",s , v AUS,28-8,3:1,4-0,"Newlands, Cape Town", 
"Sat, 28 Sep 2013",RC, ,ARG v ,15-33,0:4,0-5,La Plata, 
"Sat, 05 Oct 2013","RC,FC",n ,SAF v ,27-38,4:5,1-5,"Ellis Park, Johannesburg", 
"Sat, 05 Oct 2013",RC, ,ARG v ,17-54,2:7,0-5,Rosario, 
"Sat, 19 Oct 2013",BC,n , v AUS,41-33,4:3,5-0,"Otago Stadium, Dunedin", 
"Sat, 02 Nov 2013","AI,CC",e , v AUS,20-13,2:1,4-1,"Twickenham, London", 
"Sat, 02 Nov 2013",AI, ,JAP v ,6-54,0:8,0-5,"Prince Chichibu Stadium, Tokyo", 
"Sat, 09 Nov 2013","AI,DG", ,FRA v ,19-26,1:2,1-4,"Stade de France, Paris", 
"Sat, 09 Nov 2013",AI, ,ITA v ,20-50,3:7,0-5,"Olympic Stadium, Rome", 
"Sat, 09 Nov 2013",AI, , v ARG,31-12,4:0,5-0,"Twickenham, London", 
"Sat, 09 Nov 2013",AI, , v JAP,42-17,6:2,5-0,"Murrayfield, Edinburgh", 
"Sat, 09 Nov 2013",AI, ,WAL v ,15-24,0:3,0-4,"Millennium Stadium, Cardiff", 
"Sat, 09 Nov 2013",AI, , v SAM,40-9,5:0,5-0,"Lansdowne Rd, Dublin", 
"Sat, 16 Nov 2013",AI, , v TON,38-18,4:2,5-0,"Stade de France, Paris", 
"Sat, 16 Nov 2013",AI, , v FIJ,37-31,4:5,5-2,Cremona, 
"Sat, 16 Nov 2013","AI,HS",n ,ENG v ,22-30,1:3,0-4,"Twickenham, London", 
"Sat, 16 Nov 2013",AI, , v ARG,40-6,4:0,5-0,"Millennium Stadium, Cardiff", 
"Sat, 16 Nov 2013",AI, ,IRE v ,15-32,0:4,0-5,"Lansdowne Rd, Dublin", 
"Sun, 17 Nov 2013",AI, ,SCO v ,0-28,0:4,0-5,"Murrayfield, Edinburgh", 
"Fri, 22 Nov 2013",AI, , v TON,17-7,2:1,4-0,"Millennium Stadium, Cardiff", 
"Sat, 23 Nov 2013",AI, ,FRA v ,10-19,1:1,0-4,"Stade de France, Paris", 
"Sat, 23 Nov 2013",AI, ,ITA v ,14-19,1:1,1-4,Naples, 
"Sat, 23 Nov 2013","AI,HC", ,SCO v ,15-21,0:2,1-4,"Murrayfield, Edinburgh", 
"Sun, 24 Nov 2013",AI, ,IRE v ,22-24,3:3,1-4,"Lansdowne Rd, Dublin", 
"Sat, 30 Nov 2013",AI, ,WAL v ,26-30,2:3,1-4,"Millennium Stadium, Cardiff", 
"Sat, 01 Feb 2014",6N,1 , v ITA,23-15,2:2,4-0,"Millennium Stadium, Cardiff", 
"Sat, 01 Feb 2014",6N,1 , v ENG,26-24,3:2,4-1,"Stade de France, Paris", 
"Mon, 03 Feb 2014",6N,1 , v SCO,28-6,3:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 08 Feb 2014",6N,2 , v WAL,26-3,2:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 08 Feb 2014","6N,CA",2 ,SCO v ,0-20,0:2,0-4,"Murrayfield, Edinburgh", 
"Sun, 09 Feb 2014",6N,2 , v ITA,30-10,3:1,4-0,"Stade de France, Paris", 
"Fri, 21 Feb 2014",6N,3 , v FRA,27-6,2:0,4-0,"Millennium Stadium, Cardiff", 
"Sat, 22 Feb 2014",6N,3 ,ITA v ,20-21,2:2,1-4,"Olympic Stadium, Rome", 
