Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,GfM,Opposition,Ground,Match Date
Sri Lanka,won,75,3,11,7,2,0,0,v Pakistan,Hong Kong,27 Oct 2004
Russia,won,72,0,-,-,-,-,-,v Ukraine,Moscow,11 Jun 2005
Namibia,won,84,12,12,12,0,0,0,v Kenya,Windhoek,27 May 2006
Slovenia,won,77,5,-,-,-,-,-,v Bosnia & Her,Ljubliana,19 May 2007
Lithuania,won,77,5,13,6,0,0,0,v Serbia & Mon,Pancevo,24 Apr 2010
Japan,won,75,3,11,10,0,0,0,v Russia,Tokyo,6 Nov 2010
Guatemala,won,72,0,11,7,1,0,0,v Panama,Guatemala City,4 Dec 2016
Georgia,won,78,6,12,8,0,0,0,v Belgium,Kutaisi,22 Feb 2020
South Africa,won,74,3,11,8,1,0,0,v Italy,Port Elizabeth,12 Jun 1999
Singapore,won,71,0,-,-,-,-,-,v India,Singapore,21 Jun 2003
Kenya,won,80,9,-,-,-,-,-,v Botswana,Gaberone,2 Aug 2003
Argentina,won,79,8,13,7,0,0,0,v Chile,San Juan,15 Dec 2007
Paraguay,won,71,0,-,-,-,-,-,v Peru,Asuncion,21 Jun 2008
Japan,won,80,9,12,10,0,0,0,v Korea,Osaka,16 May 2009
Romania,won,71,0,11,8,0,0,0,v Ukraine,Bucharest,31 Mar 2012
Brazil,won,76,5,-,-,-,-,-,v Mexico,Sao Paulo,20 Apr 2013
Lithuania,won,81,10,13,8,0,0,0,v Malta,Siauliai,19 May 2018
Hong Kong,won,71,0,11,7,0,0,0,v Malaysia,Kuala Lumpur,22 Jun 2019
Argentina,won,70,0,11,7,4,0,0,v Uruguay,Concepcion,28 Oct 1977
Denmark,won,70,0,-,-,-,-,-,v Norway,Stavanger,25 Sep 1993
Australia,won,73,3,11,6,2,0,0,v Samoa,Sydney,6 Aug 1994
Ireland,won,70,0,10,10,0,0,0,v Georgia,Lansdowne Road,14 Nov 1998
Niue Island,won,78,8,-,-,-,-,-,v Tahiti,Auckland,3 Sep 2003
Brazil,won,73,3,12,5,1,0,0,v Peru,Sao Paulo,10 Oct 2004
England,won,70,0,12,5,0,0,0,v Canada,Twickenham,13 Nov 2004
